,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009611,BP,GO:0009611,response to wounding,58/560,196/4865,1.94E-12,7.50E-10,6.04E-10,PDPN/ID3/RHOC/CERS2/FAP/COL3A1/FN1/LAMB2/MYLK/RAP2B/APOD/SPP1/PPP3CA/ANXA5/MAP1B/LOX/DPYSL3/SPARC/F13A1/DST/GJA1/ACTB/B4GALT1/TNC/COL5A1/CD151/SAA1/CD59/CD44/MDK/TSKU/VWF/CD9/LRP1/DCN/POSTN/GAS6/ZFP36L1/ANXA2/ABHD2/GIT1/ERBB2/GRN/COL1A1/ACTG1/LMAN1/PRDX2/TYROBP/ZFP36/TGFB1/APOE/MYL9/SULF2/GNAS/XBP1/LGALS1/TIMP1/FLNA,58
GO:0044391,CC,GO:0044391,ribosomal subunit,46/560,137/4865,3.31E-12,1.12E-09,9.03E-10,RPL11/RPS8/RPS27/RPS7/RPL37A/RPL32/RPSA/RPL29/RPS14/MRPL22/RPS18/RPS10/RPL7/RPL30/RPL8/RPL35/MRPL41/RPLP2/RPL27A/RPS3/RPL41/RPLP0/RPL21/RPLP1/RPS17/RPS2/RPS15A/RPL13/RPL23/RPL19/RPL27/MRPL12/RPL17/RPS15/RPL36/RPL18A/UBA52/RPS19/RPL13A/RPS11/RPS9/RPL28/RPS5/RPL3/RPS4X/RPL10,46
GO:0022625,CC,GO:0022625,cytosolic large ribosomal subunit,26/560,51/4865,3.44E-12,1.12E-09,9.03E-10,RPL11/RPL37A/RPL32/RPL29/RPL7/RPL30/RPL8/RPL35/RPLP2/RPL27A/RPL41/RPLP0/RPL21/RPLP1/RPL13/RPL23/RPL19/RPL27/RPL17/RPL36/RPL18A/UBA52/RPL13A/RPL28/RPL3/RPL10,26
GO:0030198,BP,GO:0030198,extracellular matrix organization,41/560,117/4865,1.11E-11,2.94E-09,2.37E-09,PDPN/COL16A1/COL8A2/CTSK/ADAM15/ANTXR1/FAP/COL3A1/COL5A2/FBLN2/LAMB2/COL8A1/CCDC80/SFRP2/LOX/ADAMTS2/COL12A1/COL10A1/AEBP1/COL1A2/SULF1/B4GALT1/COL5A1/MMP13/LRP1/LUM/POSTN/GAS6/MMP14/ANXA2/THSD4/MMP2/CRISPLD2/COL1A1/IER3IP1/HPN/SPINT2/TGFB1/CST3/SULF2/MMP11,41
GO:0043062,BP,GO:0043062,extracellular structure organization,41/560,117/4865,1.11E-11,2.94E-09,2.37E-09,PDPN/COL16A1/COL8A2/CTSK/ADAM15/ANTXR1/FAP/COL3A1/COL5A2/FBLN2/LAMB2/COL8A1/CCDC80/SFRP2/LOX/ADAMTS2/COL12A1/COL10A1/AEBP1/COL1A2/SULF1/B4GALT1/COL5A1/MMP13/LRP1/LUM/POSTN/GAS6/MMP14/ANXA2/THSD4/MMP2/CRISPLD2/COL1A1/IER3IP1/HPN/SPINT2/TGFB1/CST3/SULF2/MMP11,41
GO:0045229,BP,GO:0045229,external encapsulating structure organization,41/560,117/4865,1.11E-11,2.94E-09,2.37E-09,PDPN/COL16A1/COL8A2/CTSK/ADAM15/ANTXR1/FAP/COL3A1/COL5A2/FBLN2/LAMB2/COL8A1/CCDC80/SFRP2/LOX/ADAMTS2/COL12A1/COL10A1/AEBP1/COL1A2/SULF1/B4GALT1/COL5A1/MMP13/LRP1/LUM/POSTN/GAS6/MMP14/ANXA2/THSD4/MMP2/CRISPLD2/COL1A1/IER3IP1/HPN/SPINT2/TGFB1/CST3/SULF2/MMP11,41
GO:0005581,CC,GO:0005581,collagen trimer,19/560,30/4865,1.76E-11,4.38E-09,3.53E-09,C1QA/C1QB/COL16A1/COL8A2/COL3A1/COL5A2/COL6A3/COL8A1/LOX/COL12A1/COL10A1/COL1A2/CTHRC1/COL5A1/LUM/DCN/COL1A1/COL6A1/COL6A2,19
GO:0005840,CC,GO:0005840,ribosome,50/560,166/4865,3.57E-11,8.41E-09,6.78E-09,RPL11/RPS8/RPS27/RPS7/RPL37A/RPL32/RPSA/RPL29/APOD/RPS14/MRPL22/RPS18/RPS10/RPL7/RPL30/RPL8/RPL35/MRPL41/RPLP2/RPL27A/RPS3/RPL41/RPLP0/RPL21/RPLP1/RPS17/RPS2/RPS15A/RPL13/NUFIP2/RPL23/RPL19/RPL27/MRPL12/RPL17/RPS15/EEF2/RPL36/GADD45GIP1/RPL18A/UBA52/RPS19/RPL13A/RPS11/RPS9/RPL28/RPS5/RPL3/RPS4X/RPL10,50
GO:0005925,CC,GO:0005925,focal adhesion,69/560,272/4865,4.13E-11,9.21E-09,7.42E-09,RPS8/CNN3/ARPC5/CAPN2/ENAH/RPS7/FAP/ITGAV/RPL37A/ARPC2/ANXA5/PALLD/RPS14/RPS18/RPS10/DST/MARCKS/GJA1/ACTB/PTPN12/ZYX/SDCBP/RPL7/RPL30/YWHAZ/RPL8/HNRNPK/TNC/VIM/RPLP2/CD151/CD81/CD59/CD44/CFL1/RPS3/CD9/LRP1/RPLP0/MMP14/B2M/ITGA11/RPLP1/RPS17/RPS2/MAPK3/CYBA/GIT1/RPL23/RPL19/RPL27/MRC2/ACTG1/BSG/RPS15/ADGRE5/TPM4/ACTN4/RPS19/VASP/RPL13A/RPS11/RPS9/RPS5/TGM2/ITGB2/RPL3/RPS4X/FLNA,69
GO:0030055,CC,GO:0030055,cell-substrate junction,69/560,273/4865,4.94E-11,1.05E-08,8.45E-09,RPS8/CNN3/ARPC5/CAPN2/ENAH/RPS7/FAP/ITGAV/RPL37A/ARPC2/ANXA5/PALLD/RPS14/RPS18/RPS10/DST/MARCKS/GJA1/ACTB/PTPN12/ZYX/SDCBP/RPL7/RPL30/YWHAZ/RPL8/HNRNPK/TNC/VIM/RPLP2/CD151/CD81/CD59/CD44/CFL1/RPS3/CD9/LRP1/RPLP0/MMP14/B2M/ITGA11/RPLP1/RPS17/RPS2/MAPK3/CYBA/GIT1/RPL23/RPL19/RPL27/MRC2/ACTG1/BSG/RPS15/ADGRE5/TPM4/ACTN4/RPS19/VASP/RPL13A/RPS11/RPS9/RPS5/TGM2/ITGB2/RPL3/RPS4X/FLNA,69
GO:0044419,BP,GO:0044419,biological process involved in interspecies interaction between organisms,101/560,477/4865,1.05E-10,2.11E-08,1.70E-08,C1QA/C1QB/IFI6/JUN/GBP1/S100A14/SHC1/ADAM15/RGS1/CD55/CAPN2/ITGAV/STAT1/HSPD1/FN1/RPSA/CCDC80/LRRC15/JCHAIN/CXCL10/IRF1/CXCL14/CD74/SPARC/HLA-A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/CD24/GJA1/IFNGR1/SOD2/RNASET2/AQP1/ZYX/CTSB/CLU/RPL30/LY6E/CTSL/GATA3/VIM/CXCL12/HTRA1/CD81/HPX/CFL1/GAPDH/C1S/C1R/A2M/MGST1/KRT8/DCN/GJB2/TPT1/GAS6/NFKBIA/PYGL/LGALS3/FOS/IFI27/HSP90AA1/B2M/LITAF/RPS15A/MAPK3/ITGAX/COTL1/CYBA/MYO1C/CD68/GIT1/CCL5/GRN/ACTG1/USP14/VAPA/VPS4B/BSG/C3/PRDX2/BST2/HPN/TYROBP/ZFP36/TGFB1/RPS19/APOE/RPL13A/BCL2L1/ROMO1/WFDC2/VAPB/IFNGR2/MIF/XBP1/LGALS1/CYBB/GPC3,101
GO:0030414,MF,GO:0030414,peptidase inhibitor activity,23/560,49/4865,5.33E-10,1.03E-07,8.28E-08,COL6A3/RARRES1/CAST/GAPDH/A2M/GAS6/SERPINA5/SERPINA3/ANXA2/SERPINF1/TIMP2/USP14/C3/BST2/SPINT2/PRNP/CST3/CST4/CST1/WFDC2/TIMP3/TIMP1/GPC3,23
GO:0070161,CC,GO:0070161,anchoring junction,88/560,407/4865,6.91E-10,1.27E-07,1.03E-07,WASF2/RPS8/CNN3/ADAM15/ARPC5/CAPN2/ENAH/RPS7/EPCAM/FAP/ITGAV/RPL37A/ARPC2/HEG1/RAP2B/PPP3CA/ANXA5/PALLD/RPS14/RPS18/RPS10/DST/MARCKS/GJA1/ACTB/PTPN12/ZYX/SDCBP/RPL7/RPL30/YWHAZ/RPL8/B4GALT1/HNRNPK/TNC/VIM/RPLP2/CD151/CD81/EIF4G2/CD59/CD44/CFL1/CCND1/STARD10/RPS3/CD9/KRT8/LRP1/RAP1B/RPLP0/GJB2/MMP14/B2M/TMOD3/ANXA2/ITGA11/RPLP1/RPS17/RPS2/MAPK3/MARVELD3/CYBA/GIT1/RPL23/RPL19/RPL27/MRC2/ACTG1/EPB41L3/VAPA/BSG/RPS15/ADGRE5/TPM4/HPN/ACTN4/RPS19/VASP/RPL13A/RPS11/RPS9/RPS5/TGM2/ITGB2/RPL3/RPS4X/FLNA,88
GO:0009986,CC,GO:0009986,cell surface,58/560,224/4865,7.34E-10,1.30E-07,1.04E-07,CTSK/ADAM15/FCGR3A/CD55/CAPN2/EPCAM/ANTXR1/FAP/ITGAV/HSPD1/RAMP1/HEG1/CXCL10/CD74/SPARC/LMAN2/HLA-A/HLA-C/HLA-B/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD24/ENPP1/AZGP1/CTSB/CLU/SULF1/B4GALT1/CXCL12/CD151/CD59/CD44/CD248/TMEM123/CD9/CD63/LGALS3/SERPINA5/B2M/ANXA2/MFGE8/ITGAX/TIMP2/USP14/C3/PLVAP/BST2/HPN/TYROBP/TGFB1/PRNP/SULF2/ITGB2/MIF/LGALS1/GPC3,58
GO:0043207,BP,GO:0043207,response to external biotic stimulus,86/560,396/4865,8.85E-10,1.44E-07,1.16E-07,C1QA/C1QB/IFI6/JUN/GBP1/S100A14/SHC1/ADAM15/RGS1/CD55/CAPN2/STAT1/HSPD1/CCDC80/JCHAIN/CXCL10/IRF1/CXCL14/CD74/SPARC/HLA-A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/CD24/GJA1/IFNGR1/SOD2/RNASET2/AQP1/ZYX/CLU/RPL30/GATA3/VIM/CXCL12/HTRA1/HPX/CFL1/GAPDH/C1S/C1R/A2M/MGST1/KRT8/DCN/GJB2/TPT1/NFKBIA/PYGL/LGALS3/FOS/IFI27/HSP90AA1/B2M/LITAF/RPS15A/MAPK3/ITGAX/COTL1/CYBA/MYO1C/CD68/GIT1/CCL5/GRN/ACTG1/USP14/C3/PRDX2/BST2/TYROBP/ZFP36/TGFB1/RPS19/APOE/RPL13A/BCL2L1/ROMO1/WFDC2/IFNGR2/MIF/XBP1/CYBB/GPC3,86
GO:0051707,BP,GO:0051707,response to other organism,86/560,396/4865,8.85E-10,1.44E-07,1.16E-07,C1QA/C1QB/IFI6/JUN/GBP1/S100A14/SHC1/ADAM15/RGS1/CD55/CAPN2/STAT1/HSPD1/CCDC80/JCHAIN/CXCL10/IRF1/CXCL14/CD74/SPARC/HLA-A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/CD24/GJA1/IFNGR1/SOD2/RNASET2/AQP1/ZYX/CLU/RPL30/GATA3/VIM/CXCL12/HTRA1/HPX/CFL1/GAPDH/C1S/C1R/A2M/MGST1/KRT8/DCN/GJB2/TPT1/NFKBIA/PYGL/LGALS3/FOS/IFI27/HSP90AA1/B2M/LITAF/RPS15A/MAPK3/ITGAX/COTL1/CYBA/MYO1C/CD68/GIT1/CCL5/GRN/ACTG1/USP14/C3/PRDX2/BST2/TYROBP/ZFP36/TGFB1/RPS19/APOE/RPL13A/BCL2L1/ROMO1/WFDC2/IFNGR2/MIF/XBP1/CYBB/GPC3,86
GO:0005788,CC,GO:0005788,endoplasmic reticulum lumen,41/560,133/4865,1.05E-09,1.65E-07,1.33E-07,COL16A1/COL8A2/DBI/UGGT1/COL3A1/COL5A2/FN1/IGFBP5/COL6A3/SUMF1/LAMB2/COL8A1/FSTL1/IGFBP7/SPARCL1/SPP1/VCAN/STC2/COL12A1/COL10A1/RNASET2/COL1A2/CLU/GOLM1/TNC/COL5A1/PRSS23/GAS6/B2M/FBN1/MFGE8/MAPK3/COL1A1/C3/APOE/CST3/COL6A1/COL6A2/LGALS1/TIMP1/GPC3,41
GO:0005539,MF,GO:0005539,glycosaminoglycan binding,26/560,63/4865,1.28E-09,1.95E-07,1.57E-07,FN1/RPL29/CCDC80/FSTL1/PODXL2/JCHAIN/CXCL10/VCAN/DPYSL3/THBS2/GPNMB/PCOLCE/SULF1/COL5A1/SAA1/CD44/MDK/DCN/POSTN/LTBP2/SERPINA5/FBN1/CRISPLD2/APOE/PRNP/SULF2,26
GO:0009607,BP,GO:0009607,response to biotic stimulus,88/560,413/4865,1.52E-09,2.23E-07,1.79E-07,C1QA/C1QB/IFI6/JUN/GBP1/TXNIP/S100A14/SHC1/ADAM15/RGS1/CD55/CAPN2/FAP/STAT1/HSPD1/CCDC80/JCHAIN/CXCL10/IRF1/CXCL14/CD74/SPARC/HLA-A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/CD24/GJA1/IFNGR1/SOD2/RNASET2/AQP1/ZYX/CLU/RPL30/GATA3/VIM/CXCL12/HTRA1/HPX/CFL1/GAPDH/C1S/C1R/A2M/MGST1/KRT8/DCN/GJB2/TPT1/NFKBIA/PYGL/LGALS3/FOS/IFI27/HSP90AA1/B2M/LITAF/RPS15A/MAPK3/ITGAX/COTL1/CYBA/MYO1C/CD68/GIT1/CCL5/GRN/ACTG1/USP14/C3/PRDX2/BST2/TYROBP/ZFP36/TGFB1/RPS19/APOE/RPL13A/BCL2L1/ROMO1/WFDC2/IFNGR2/MIF/XBP1/CYBB/GPC3,88
GO:0005518,MF,GO:0005518,collagen binding,21/560,44/4865,2.09E-09,2.96E-07,2.38E-07,CTSK/ANTXR1/FN1/LRRC15/SPARCL1/LOX/SPARC/AEBP1/PCOLCE/CTSB/CTSL/ASPN/CD44/MMP13/VWF/LUM/DCN/ITGA11/MRC2/COL6A1/COL6A2,21
GO:0004866,MF,GO:0004866,endopeptidase inhibitor activity,22/560,48/4865,2.26E-09,3.09E-07,2.49E-07,COL6A3/RARRES1/CAST/GAPDH/A2M/GAS6/SERPINA5/SERPINA3/ANXA2/SERPINF1/TIMP2/USP14/C3/BST2/SPINT2/PRNP/CST3/CST4/CST1/WFDC2/TIMP3/TIMP1,22
GO:0006952,BP,GO:0006952,defense response,86/560,405/4865,2.89E-09,3.84E-07,3.09E-07,C1QA/C1QB/IFI6/GBP1/S100A14/SHC1/ADAM15/CD55/STAT1/HSPD1/FN1/EIF4G1/APOD/JCHAIN/CXCL10/SPP1/IRF1/CD74/HLA-A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/GJA1/IFNGR1/RNASET2/AQP1/ZYX/CLU/RPL30/B4GALT1/GATA3/VIM/CXCL12/HTRA1/CD81/HPX/SAA1/CD44/MDK/GAPDH/C1S/C1R/A2M/NFKBIA/LGALS3/FOS/IFI27/SERPINA3/HSP90AA1/MAPK3/ITGAX/COTL1/CYBA/MYO1C/SERPINF1/CD68/GIT1/CCL5/GRN/LGALS3BP/ACTG1/USP14/GPX4/C3/PRDX2/ADGRE5/BST2/TYROBP/ZFP36/PLD3/TGFB1/RPS19/APOE/RPL13A/CST3/BCL2L1/ROMO1/TGM2/WFDC2/IFNGR2/ITGB2/MIF/TMSB4X/CYBB/TIMP1,86
GO:0010466,BP,GO:0010466,negative regulation of peptidase activity,29/560,80/4865,5.21E-09,6.70E-07,5.40E-07,IFI6/DHCR24/COL6A3/RARRES1/SFRP2/CAST/AQP1/CD44/GAPDH/A2M/LRP1/GAS6/SERPINA5/SERPINA3/ANXA2/SERPINF1/TIMP2/USP14/C3/BST2/SPINT2/PRNP/CST3/CST4/CST1/WFDC2/TIMP3/TIMP1/GPC3,29
GO:0051241,BP,GO:0051241,negative regulation of multicellular organismal process,67/560,292/4865,8.06E-09,1.01E-06,8.10E-07,GBP1/CTSK/CERS2/LMNA/RTN4/FAP/STAT1/FN1/IGFBP5/CTDSP1/SEMA3F/GNAI2/APOD/CXCL10/SPP1/PPP3CA/ANXA5/SFRP2/IRF1/CD74/SPARC/HLA-DRB1/CD24/GJA1/ENPP1/IFNGR1/THBS2/GPNMB/SEMA3C/TMEM176B/SULF1/LAPTM4B/ASPN/GATA3/MDK/TSKU/CD9/DCN/GAS6/NDRG2/LGMN/B2M/FBN1/ANXA2/NR2F2/MARVELD3/CYBA/SERPINF1/GIT1/ERBB2/GRN/TWSG1/PRDX2/BST2/HPN/TYROBP/ZFP36/TGFB1/RPS19/APOE/APOC1/PRNP/CST3/MAFB/ATF4/TMSB4X/TIMP1,67
GO:0006959,BP,GO:0006959,humoral immune response,22/560,51/4865,9.18E-09,1.11E-06,8.97E-07,C1QA/C1QB/CD55/JCHAIN/CXCL10/CXCL14/HLA-A/HLA-DRB1/CLU/RPL30/GATA3/CD81/HPX/CD59/GAPDH/C1S/C1R/A2M/C3/RPS19/ROMO1/WFDC2,22
GO:0030141,CC,GO:0030141,secretory granule,82/560,389/4865,1.03E-08,1.22E-06,9.81E-07,ILF2/ADAM15/CREG1/ARPC5/CD55/ITGAV/HSPD1/FN1/ATP6V1A/RAP2B/SPARC/F13A1/HLA-C/HLA-B/EEF1A1/RNASET2/THBS2/BRI3/CTSB/CLU/SDCBP/GGH/FABP5/B4GALT1/CTSL/DPP7/CTSD/COPB1/CD59/CD44/VWF/CD9/A2M/MGST1/CD63/LRP1/RAP1B/GAS6/PYGL/LGALS3/SERPINA5/SERPINA3/HSP90AA1/B2M/MYO5A/ANXA2/MFGE8/ABHD2/ALDOA/ITGAX/COTL1/CRISPLD2/CYBA/CD68/ORMDL3/PSMD3/GRN/COL1A1/TIMP2/LGALS3BP/RAB31/VAPA/BSG/EEF2/C3/SLC44A2/ADGRE5/BST2/TYROBP/ACTN4/TGFB1/FTL/CST3/TFF3/ITGB2/MIF/TIMP3/TMSB4X/CYBB/TIMP1/MAGED2/LAMP2,82
GO:0061135,MF,GO:0061135,endopeptidase regulator activity,23/560,56/4865,1.32E-08,1.51E-06,1.22E-06,COL6A3/RARRES1/SFRP2/CAST/GAPDH/A2M/GAS6/SERPINA5/SERPINA3/ANXA2/SERPINF1/TIMP2/USP14/C3/BST2/SPINT2/PRNP/CST3/CST4/CST1/WFDC2/TIMP3/TIMP1,23
