,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050804,BP,GO:0050804,modulation of chemical synaptic transmission,30/324,463/14611,1.49668469073058e-07,5.90373019877328e-05,5.04502956990588e-05,Adgrb1/Adora1/Akap12/Car7/Ephb2/Erc2/Gabbr1/Git2/Grin2c/Grm1/Itpka/Kcnh1/Lrrc4/Map1a/Mecp2/Myo5a/Nf1/Nptx1/Ntrk2/Plcl1/Ppp1r9b/Prkcb/Prkcg/Pten/Ptprd/Reln/Rgs4/Shisa8/Syp/Wnt7a,30
GO:0099177,BP,GO:0099177,regulation of trans-synaptic signaling,30/324,464/14611,1.56840297510027e-07,5.90373019877328e-05,5.04502956990588e-05,Adgrb1/Adora1/Akap12/Car7/Ephb2/Erc2/Gabbr1/Git2/Grin2c/Grm1/Itpka/Kcnh1/Lrrc4/Map1a/Mecp2/Myo5a/Nf1/Nptx1/Ntrk2/Plcl1/Ppp1r9b/Prkcb/Prkcg/Pten/Ptprd/Reln/Rgs4/Shisa8/Syp/Wnt7a,30
GO:0051051,BP,GO:0051051,negative regulation of transport,27/324,400/14611,2.88260452633186e-07,0.000100159420349546,8.55911805510845e-05,Adora1/Appl2/Cabp1/Ephb2/Erbb3/F2r/Gabbr1/Gdi1/Gnaq/Igfbp3/Inhbb/Kcnab1/Lgals3/Myo5a/Nf1/Oprl1/Pea15a/Prkcb/Pten/Rgs2/Rgs4/Sh3gl3/Sirpa/Srcin1/Tmbim6/Txn1/Wnk1,27
GO:0031252,CC,GO:0031252,cell leading edge,25/324,364/14611,5.85633514712804e-07,0.00017744032363935,0.00015163153625147,Adora1/Amotl1/Ank1/Antxr1/Appl2/Arhgef7/Dst/Gabbr1/Gabra1/Gas7/Kcnh1/Myh10/Myo5a/Nme1/Ppp1r9b/Ptprk/Ptprz1/Shisa8/Slc12a5/Sptbn1/Srcin1/Srgap2/Tesc/Vim/Wasf1,25
GO:0034762,BP,GO:0034762,regulation of transmembrane transport,29/324,467/14611,5.8924172118447e-07,0.00017744032363935,0.00015163153625147,Appl2/Cabp1/Cacna1c/Clic6/Clip3/Dlg1/Ephb2/Erbb3/F2r/Fxyd7/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Myo5a/Oprl1/Pea15a/Prkcb/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,29
GO:0044304,CC,GO:0044304,main axon,11/324,74/14611,6.47435433400329e-07,0.00018277911579183,0.000156193798307829,Adora1/Ank1/Dlg1/Gabbr1/Kcnab1/Kcnab2/Kcnh1/Map1a/Scn1b/Sptan1/Sptbn1,11
GO:0044309,CC,GO:0044309,neuron spine,17/324,188/14611,9.87760651688704e-07,0.000262453815510463,0.000224279771501082,Adora1/Ephb2/Gabbr1/Gria3/Grm1/Itpka/Lpar1/Lrrc4/Myh10/Ntrk2/Ppp1r9b/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2/Syp,17
GO:0042734,CC,GO:0042734,presynaptic membrane,13/324,115/14611,1.58014059375667e-06,0.000396527503444383,0.000338852371772264,Adora1/Cacna1c/Cntn6/Dlg1/Ephb2/Erc2/Gabbr1/Grm1/Kcnh1/Kcnj3/Ptprd/Rgs7bp/Syp,13
GO:1904861,BP,GO:1904861,excitatory synapse assembly,7/324,28/14611,1.96005756697018e-06,0.000465977896316015,0.000398201168868678,Lrrc4/Nptx1/Ntrk3/Pten/Ptprd/Reln/Wnt7a,7
GO:0031256,CC,GO:0031256,leading edge membrane,14/324,137/14611,2.13434305722146e-06,0.000482041379473467,0.000411928210043742,Adora1/Ank1/Antxr1/Appl2/Gabbr1/Gabra1/Kcnh1/Nme1/Ppp1r9b/Ptprk/Ptprz1/Shisa8/Slc12a5/Sptbn1,14
GO:0031253,CC,GO:0031253,cell projection membrane,19/324,245/14611,2.34959499282426e-06,0.000505386694408915,0.00043187793677627,Adora1/Ank1/Antxr1/Appl2/Car4/Dlg1/Ehd1/Gabbr1/Gabra1/Gna12/Kcnh1/Nme1/Ppp1r9b/Prkcb/Ptprz1/Scarb1/Shisa8/Slc12a5/Sptbn1,19
GO:0098552,CC,GO:0098552,side of membrane,25/324,398/14611,2.96818785996785e-06,0.000600295307499749,0.00051298204271619,Ank1/Antxr1/Cabp1/Car4/Cd302/Cd83/Dlg1/Dst/Gna12/Gnaq/Gng3/Gphn/Kcnab1/Kcnab2/Kcnj3/Lamp1/Lgals3/Mien1/Mtss1/Myh10/Ppp1r9b/Pten/Rgs2/Rtn4rl1/Ryr2,25
GO:1902495,CC,GO:1902495,transmembrane transporter complex,20/324,273/14611,3.05662875193585e-06,0.000600295307499749,0.00051298204271619,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Ndufa11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8,20
GO:0043197,CC,GO:0043197,dendritic spine,16/324,183/14611,3.20803990083321e-06,0.00060377984300265,0.000515959750717341,Adora1/Ephb2/Gabbr1/Gria3/Grm1/Itpka/Lpar1/Lrrc4/Myh10/Ntrk2/Ppp1r9b/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2,16
GO:0099504,BP,GO:0099504,synaptic vesicle cycle,17/324,208/14611,3.97321753555646e-06,0.000717880944324341,0.000613464787489918,Ctbp2/Dennd1a/Erc2/Git2/Kcnh1/Ppp3cb/Prkcb/Prkcg/Pten/Sh3gl2/Sh3gl3/Slc17a7/Sptbn2/Syp/Syt2/Syt6/Wnt7a,17
GO:0034765,BP,GO:0034765,regulation of ion transmembrane transport,24/324,386/14611,5.60080130743689e-06,0.00097303151944971,0.000831503578719478,Cabp1/Cacna1c/Clic6/Dlg1/Ephb2/F2r/Fxyd7/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Myo5a/Oprl1/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,24
GO:1990351,CC,GO:1990351,transporter complex,20/324,286/14611,6.17190019058395e-06,0.0010325360429951,0.000882353138357557,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Ndufa11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8,20
GO:0016358,BP,GO:0016358,dendrite development,20/324,289/14611,7.21187696491344e-06,0.0010633712152053,0.000908703318727574,Arid1b/Cux1/Ephb2/Itpka/Kndc1/Lpar1/Map1a/Mark1/Mecp2/Ntrk2/Ppp1r9b/Prex2/Pten/Ptprd/Ptprz1/Reln/Slc12a5/Srcin1/Srgap2/Wnt7a,20
GO:0099173,BP,GO:0099173,postsynapse organization,16/324,195/14611,7.27733489097747e-06,0.0010633712152053,0.000908703318727574,Abhd17b/Adgrb1/Arhgef7/Ephb2/Gphn/Itpka/Lrrc4/Myh10/Nptx1/Ntrk3/Pten/Ptprd/Reln/Sptbn2/Srcin1/Wnt7a,16
GO:0032589,CC,GO:0032589,neuron projection membrane,9/324,61/14611,7.29787639392611e-06,0.0010633712152053,0.000908703318727574,Adora1/Ank1/Gabbr1/Gabra1/Kcnh1/Ppp1r9b/Shisa8/Slc12a5/Sptbn1,9
GO:0060076,CC,GO:0060076,excitatory synapse,9/324,61/14611,7.29787639392611e-06,0.0010633712152053,0.000908703318727574,Cntn6/Gria3/Kcnh1/Kcnj3/Lrrc4/Ntrk2/Slc17a7/Sptbn2/Syp,9
GO:0043271,BP,GO:0043271,negative regulation of ion transport,13/324,136/14611,1.03120326791832e-05,0.00145560786287095,0.00124388894192647,Adora1/Cabp1/Ephb2/Gabbr1/Gnaq/Kcnab1/Myo5a/Oprl1/Pten/Rgs2/Rgs4/Tmbim6/Wnk1,13
GO:0010976,BP,GO:0010976,positive regulation of neuron projection development,16/324,201/14611,1.0688592263921e-05,0.0014630415532161,0.00125024139814349,Arhgap35/Ehd1/Ephb2/Fut9/Itpka/Neu1/Nf1/Nme1/Ntrk2/Ntrk3/Plk5/Plxnb3/Ptprz1/Reln/Rgs2/Scn1b,16
GO:0050803,BP,GO:0050803,regulation of synapse structure or activity,18/324,253/14611,1.42818166445141e-05,0.00189738134656678,0.00162140624258308,Abhd17b/Adgrb1/Cdh8/Ephb2/Itpka/Mecp2/Myh10/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Slc17a7/Srcin1/Tubb5/Wnt7a,18
GO:0098978,CC,GO:0098978,glutamatergic synapse,20/324,305/14611,1.59345694646571e-05,0.00205647000776732,0.00175735537524504,Arpc5l/Cabp1/Cdh8/Ctbp2/Dlg1/Ephb2/Erc2/Grin2c/Grm1/Kpna1/Lrrc4/Myh10/Myo5a/Nptx1/Olfm1/Ppp3cb/Ptprd/Rgs7bp/Sptbn2/Wnt7a,20
GO:0099003,BP,GO:0099003,vesicle-mediated transport in synapse,17/324,234/14611,1.88820951418166e-05,0.00236917843765516,0.002024580201317,Ctbp2/Dennd1a/Erc2/Git2/Kcnh1/Ppp3cb/Prkcb/Prkcg/Pten/Sh3gl2/Sh3gl3/Slc17a7/Sptbn2/Syp/Syt2/Syt6/Wnt7a,17
GO:0031346,BP,GO:0031346,positive regulation of cell projection organization,23/324,390/14611,2.05985220089051e-05,0.00251468983551958,0.00214892689065875,Anln/Arhgap35/Cux1/Ehd1/Ephb2/Fut9/Gdi1/Golga4/Itpka/Mien1/Neu1/Nf1/Nme1/Ntrk2/Ntrk3/Plk5/Plxnb3/Ptprd/Ptprz1/Reln/Rgs2/Scn1b/Tenm1,23
GO:0098688,CC,GO:0098688,parallel fiber to Purkinje cell synapse,5/324,17/14611,2.58365925580711e-05,0.00305198302562815,0.00260807050673559,Cntn6/Gria3/Kcnh1/Kcnj3/Sptbn2,5
GO:0010959,BP,GO:0010959,regulation of metal ion transport,21/324,343/14611,2.73559583100949e-05,0.00305198302562815,0.00260807050673559,Adora1/Cabp1/Cacna1c/Dlg1/F2r/Fxyd7/Gnaq/Il16/Kcnab1/Kcnab2/Lgals3/Myo5a/Nkain2/Oprl1/Pten/Rgs4/Ryr2/Scn1b/Tesc/Tmbim6/Wnk1,21
GO:0044325,MF,GO:0044325,transmembrane transporter binding,12/324,128/14611,2.74383840007306e-05,0.00305198302562815,0.00260807050673559,Ank1/Cabp1/Cacna1c/Dlg1/Herpud1/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Pacs2/Ppp1r9b/Scn1b,12
GO:0010001,BP,GO:0010001,glial cell differentiation,16/324,217/14611,2.77023033098858e-05,0.00305198302562815,0.00260807050673559,Arhgef10/C1qa/Dner/Erbb3/Id4/Mecp2/Nf1/Nfe2l1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Reln/Tspan2/Vim,16
GO:0061564,BP,GO:0061564,axon development,25/324,454/14611,2.8514616015627e-05,0.00306667906053779,0.00262062899572191,Arhgap35/Barhl2/Cntn6/Crmp1/Dst/Ephb2/Gdi1/Golga4/Map1a/Myh10/Nptx1/Ntrk2/Ntrk3/Olfm1/Plxnb3/Ptch1/Pten/Ptprz1/Reln/Rtn4rl1/Scn1b/Trim32/Tspan2/Vim/Wnt7a,25
GO:2000146,BP,GO:2000146,negative regulation of cell motility,17/324,244/14611,3.22869361475559e-05,0.00324815191367823,0.00277570652796059,Adgrb1/Adora1/Frmd5/Gna12/Ifitm3/Igfbp3/Igfbp5/Mecp2/Nf1/Olfm1/Plxnb3/Pten/Ptprk/Ptprt/Srgap2/Srgap3/Tmeff2,17
GO:0030672,CC,GO:0030672,synaptic vesicle membrane,9/324,73/14611,3.23592729943592e-05,0.00324815191367823,0.00277570652796059,Atp6v1g2/Dlg1/Gad2/Slc17a7/Sv2b/Synpr/Syp/Syt2/Tmem163,9
GO:0099501,CC,GO:0099501,exocytic vesicle membrane,9/324,73/14611,3.23592729943592e-05,0.00324815191367823,0.00277570652796059,Atp6v1g2/Dlg1/Gad2/Slc17a7/Sv2b/Synpr/Syp/Syt2/Tmem163,9
GO:0007015,BP,GO:0007015,actin filament organization,22/324,375/14611,3.37856283295575e-05,0.00331760180792634,0.00283505489895853,Arhgap35/Arhgef10/Arpc5l/Capza2/Coro2b/Dlg1/Gas7/Lpar1/Mtss1/Myh10/Myo5a/Ppp1r9b/Rgs4/Sirpa/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Tpm2/Wasf1,22
GO:0050807,BP,GO:0050807,regulation of synapse organization,17/324,246/14611,3.58093467042721e-05,0.00344150678857866,0.00294093783571256,Abhd17b/Adgrb1/Cdh8/Ephb2/Itpka/Mecp2/Myh10/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Srcin1/Tubb5/Wnt7a,17
GO:1904062,BP,GO:1904062,regulation of cation transmembrane transport,19/324,298/14611,3.81950208773194e-05,0.00353190588657384,0.00301818833787359,Cabp1/Cacna1c/Dlg1/Ephb2/F2r/Fxyd7/Kcnab1/Kcnab2/Myo5a/Oprl1/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,19
GO:0007416,BP,GO:0007416,synapse assembly,14/324,176/14611,3.83137897812969e-05,0.00353190588657384,0.00301818833787359,Adgrb1/Ephb2/Gabra1/Kirrel3/Lrrc4/Mecp2/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Reln/Sptbn2/Wnt7a,14
GO:0099068,BP,GO:0099068,postsynapse assembly,6/324,30/14611,4.29998948976236e-05,0.00380710138655611,0.00325335650921111,Ephb2/Nptx1/Ntrk3/Pten/Ptprd/Reln,6
GO:0030659,CC,GO:0030659,cytoplasmic vesicle membrane,25/324,466/14611,4.37761601476201e-05,0.00380710138655611,0.00325335650921111,Abhd17b/Appl2/Atp6v1g2/Car4/Clip3/Dennd1a/Dlg1/Ehd1/Gad2/Ifitm3/Kcnh1/Lamp1/Pla2g4e/Ryr2/Ryr3/Scg3/Slc17a7/Sv2b/Synpr/Syp/Syt2/Tmed10/Tmem163/Trip11/Tsg101,25
GO:0006887,BP,GO:0006887,exocytosis,20/324,328/14611,4.50060417589094e-05,0.00380710138655611,0.00325335650921111,Cacna1c/Ctbp2/Erc2/Exph5/Git2/Kcnh1/Lamp1/Myh10/Myo5a/Ppp3cb/Prkcb/Prkcg/Sptbn2/Srcin1/Syp/Syt2/Syt6/Tmed10/Tsg101/Wnt7a,20
GO:1902903,BP,GO:1902903,regulation of supramolecular fiber organization,20/324,328/14611,4.50060417589094e-05,0.00380710138655611,0.00325335650921111,Arhgap35/Arhgef10/Arhgef7/Arpc5l/Capza2/Clip3/Coro2b/Dlg1/Lpar1/Map1a/Mecp2/Mtss1/Rgs4/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,20
GO:0030285,CC,GO:0030285,integral component of synaptic vesicle membrane,5/324,19/14611,4.68093989642263e-05,0.00380710138655611,0.00325335650921111,Atp6v1g2/Slc17a7/Synpr/Syp/Tmem163,5
GO:0030673,CC,GO:0030673,axolemma,5/324,19/14611,4.68093989642263e-05,0.00380710138655611,0.00325335650921111,Adora1/Ank1/Gabbr1/Kcnh1/Sptbn1,5
GO:0023061,BP,GO:0023061,signal release,24/324,440/14611,4.80165426008012e-05,0.00380710138655611,0.00325335650921111,Adora1/Arhgef7/Cacna1c/Ctbp2/Erc2/F2r/Gabbr1/Git2/Igfbp3/Inhbb/Kcnh1/Lgals3/Myo5a/Nf1/Ntrk2/Pfkm/Ppp3cb/Prkcb/Prkcg/Sptbn2/Syp/Syt2/Syt6/Wnt7a,24
GO:0070382,CC,GO:0070382,exocytic vesicle,15/324,203/14611,4.80417930116666e-05,0.00380710138655611,0.00325335650921111,Atp6v1g2/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Slc17a7/Sptbn2/Sv2b/Synpr/Syp/Syt2/Syt6/Tmem163,15
GO:0051271,BP,GO:0051271,negative regulation of cellular component movement,17/324,253/14611,5.09737871026225e-05,0.0039698033852163,0.00339239341751936,Adgrb1/Adora1/Frmd5/Gna12/Ifitm3/Igfbp3/Igfbp5/Mecp2/Nf1/Olfm1/Plxnb3/Pten/Ptprk/Ptprt/Srgap2/Srgap3/Tmeff2,17
GO:0110053,BP,GO:0110053,regulation of actin filament organization,16/324,229/14611,5.31793861186246e-05,0.00401332508839406,0.00342958486632744,Arhgap35/Arhgef10/Arpc5l/Capza2/Coro2b/Dlg1/Lpar1/Mtss1/Rgs4/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,16
GO:0042552,BP,GO:0042552,myelination,12/324,137/14611,5.38237385316754e-05,0.00401332508839406,0.00342958486632744,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nf1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,12
GO:0007409,BP,GO:0007409,axonogenesis,23/324,415/14611,5.41981028098378e-05,0.00401332508839406,0.00342958486632744,Arhgap35/Barhl2/Cntn6/Crmp1/Dst/Ephb2/Gdi1/Golga4/Map1a/Myh10/Nptx1/Ntrk2/Ntrk3/Olfm1/Plxnb3/Ptch1/Pten/Ptprz1/Reln/Rtn4rl1/Scn1b/Vim/Wnt7a,23
GO:0098685,CC,GO:0098685,Schaffer collateral - CA1 synapse,9/324,78/14611,5.51673663588322e-05,0.0040192095781104,0.0034346134539531,Akap12/Anks1b/Gabbr1/Grm1/Ina/Lrrc4/Ptprd/Syp/Wnt7a,9
GO:0008021,CC,GO:0008021,synaptic vesicle,14/324,183/14611,5.87711564280578e-05,0.00408236478505555,0.00348858270319115,Atp6v1g2/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Slc17a7/Sptbn2/Sv2b/Synpr/Syp/Syt2/Tmem163,14
GO:1990778,BP,GO:1990778,protein localization to cell periphery,20/324,335/14611,6.04240015873384e-05,0.00408236478505555,0.00348858270319115,Ank1/Clip3/Dlg1/Ehd1/Ephb2/Fam126b/Golga4/Gphn/Gpr158/Grin2c/Kcnb2/Lgals3/Myo5a/Nptx1/Pacs2/Ppp1r9b/Ptch1/Rilpl1/Sptbn1/Tesc,20
GO:0097107,BP,GO:0097107,postsynaptic density assembly,5/324,20/14611,6.12843205025937e-05,0.00408236478505555,0.00348858270319115,Nptx1/Ntrk3/Pten/Ptprd/Reln,5
GO:0007272,BP,GO:0007272,ensheathment of neurons,12/324,139/14611,6.20244092042476e-05,0.00408236478505555,0.00348858270319115,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nf1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,12
GO:0008366,BP,GO:0008366,axon ensheathment,12/324,139/14611,6.20244092042476e-05,0.00408236478505555,0.00348858270319115,Arhgef10/Dlg1/Gjc3/Id4/Myo5a/Nf1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Tspan2,12
GO:0042391,BP,GO:0042391,regulation of membrane potential,21/324,363/14611,6.23531731173035e-05,0.00408236478505555,0.00348858270319115,Adora1/Cacna1c/Dlg1/Gabra1/Gnaq/Got1/Grin2c/Kcnab2/Kcnh1/Mecp2/Ntrk2/Ntrk3/Pten/Reln/Rgs4/Rgs7bp/Ryr2/Scn1b/Slc17a7/Slc4a4/Wnt7a,21
GO:0051015,MF,GO:0051015,actin filament binding,14/324,184/14611,6.23606752642978e-05,0.00408236478505555,0.00348858270319115,Antxr1/Arpc5l/Capza2/Coro2b/Gas7/Mtss1/Myh10/Myo5a/Ppp1r9b/Sptan1/Sptb/Sptbn1/Sptbn2/Tpm2,14
GO:0030336,BP,GO:0030336,negative regulation of cell migration,16/324,233/14611,6.5390435274328e-05,0.00419907055128163,0.00358831355500268,Adgrb1/Adora1/Gna12/Ifitm3/Igfbp3/Igfbp5/Mecp2/Nf1/Olfm1/Plxnb3/Pten/Ptprk/Ptprt/Srgap2/Srgap3/Tmeff2,16
GO:0004888,MF,GO:0004888,transmembrane signaling receptor activity,24/324,449/14611,6.60026586541943e-05,0.00419907055128163,0.00358831355500268,Adgrb1/Adora1/Antxr1/Ephb2/Erbb3/F2r/Gabbr1/Gabra1/Gpr12/Gpr158/Gpr22/Gpr37/Gria3/Grin2c/Grm1/Il20rb/Lpar1/Ntrk2/Ntrk3/Oprl1/Plxnb3/Ptch1/Ptprt/Slc22a17,24
GO:0051956,BP,GO:0051956,negative regulation of amino acid transport,4/324,11/14611,6.92534511616117e-05,0.00434469220690278,0.00371275446505307,Adora1/Gabbr1/Rgs2/Rgs4,4
GO:0043198,CC,GO:0043198,dendritic shaft,8/324,63/14611,7.1871418945684e-05,0.00444716711476239,0.00380032434425124,Cacna1c/Gabbr1/Gria3/Kirrel3/Lpar1/Map1a/Rgs7bp/Slc12a5,8
GO:0006836,BP,GO:0006836,neurotransmitter transport,15/324,211/14611,7.46795536015906e-05,0.00455848031916736,0.00389544698516405,Ctbp2/Erc2/Git2/Kcnh1/Nf1/Ntrk2/Prkcb/Prkcg/Slc17a7/Sptbn2/Sv2b/Syp/Syt2/Syt6/Wnt7a,15
GO:0032970,BP,GO:0032970,regulation of actin filament-based process,20/324,341/14611,7.72096975215004e-05,0.00465008271606156,0.00397372576577322,Adora1/Arhgap35/Arhgef10/Arpc5l/Cacna1c/Capza2/Coro2b/Dlg1/Lpar1/Mtss1/Ntrk3/Rgs4/Ryr2/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Wasf1,20
GO:0012506,CC,GO:0012506,vesicle membrane,25/324,484/14611,8.06077551951187e-05,0.00479085829232041,0.00409402546122576,Abhd17b/Appl2/Atp6v1g2/Car4/Clip3/Dennd1a/Dlg1/Ehd1/Gad2/Ifitm3/Kcnh1/Lamp1/Pla2g4e/Ryr2/Ryr3/Scg3/Slc17a7/Sv2b/Synpr/Syp/Syt2/Tmed10/Tmem163/Trip11/Tsg101,25
GO:0042383,CC,GO:0042383,sarcolemma,12/324,144/14611,8.73972710817496e-05,0.00502682730294193,0.0042956726564879,Ank1/Cacna1c/Car4/Dlg1/Dst/Kcnj12/Kcnj3/Lamp1/Ppp3cb/Ryr2/Ryr3/Scn1b,12
GO:0034702,CC,GO:0034702,ion channel complex,15/324,214/14611,8.758391010036e-05,0.00502682730294193,0.0042956726564879,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8,15
GO:0042063,BP,GO:0042063,gliogenesis,18/324,291/14611,9.0003501106364e-05,0.00502682730294193,0.0042956726564879,Arhgef10/Arhgef7/C1qa/Dner/Erbb3/Id4/Mecp2/Nf1/Nfe2l1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Reln/Srgap2/Tspan2/Vim,18
