,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0099504,BP,GO:0099504,synaptic vesicle cycle,20/352,208/14611,1.51E-07,6.23E-05,5.38E-05,Ctbp2/Dennd1a/Erc2/Git2/Kcnh1/Napb/Pacsin1/Ppp3cb/Prkcb/Prkcg/Pten/Sh3gl2/Sh3gl3/Slc17a7/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,20,
GO:0044304,CC,GO:0044304,main axon,12/352,74/14611,1.82E-07,6.87E-05,5.93E-05,Adora1/Ank1/App/Dlg1/Gabbr1/Kcnab1/Kcnab2/Kcnh1/Map1b/Scn1b/Sptan1/Sptbn1,12,
GO:0050804,BP,GO:0050804,modulation of chemical synaptic transmission,31/352,463/14611,2.83E-07,9.62E-05,8.31E-05,Adgrb1/Adora1/Akap12/App/Car7/Ephb2/Erc2/Gabbr1/Git2/Grin2c/Grm1/Itpka/Kcnh1/Lrrc4/Mecp2/Myo5a/Nptx1/Ntrk2/Plcl1/Ppp1r9b/Prkcb/Prkcg/Psmc5/Pten/Ptprd/Reln/Rgs4/Shisa8/Slc4a8/Syp/Wnt7a,31,
GO:0099177,BP,GO:0099177,regulation of trans-synaptic signaling,31/352,464/14611,2.97E-07,9.62E-05,8.31E-05,Adgrb1/Adora1/Akap12/App/Car7/Ephb2/Erc2/Gabbr1/Git2/Grin2c/Grm1/Itpka/Kcnh1/Lrrc4/Mecp2/Myo5a/Nptx1/Ntrk2/Plcl1/Ppp1r9b/Prkcb/Prkcg/Psmc5/Pten/Ptprd/Reln/Rgs4/Shisa8/Slc4a8/Syp/Wnt7a,31,
GO:0098803,CC,GO:0098803,respiratory chain complex,11/352,66/14611,4.46E-07,0.000134726,0.000116419,Cox6b2/Cox8a/Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Uqcr10/Uqcrh,11,
GO:0042734,CC,GO:0042734,presynaptic membrane,14/352,115/14611,6.76E-07,0.000191682,0.000165635,Adora1/Cacna1c/Cntn6/Dlg1/Ephb2/Erc2/Gabbr1/Grm1/Kcnh1/Kcnj3/Ptprd/Rgs7bp/Slc4a8/Syp,14,
GO:0031252,CC,GO:0031252,cell leading edge,26/352,364/14611,8.00E-07,0.000213346,0.000184355,Adora1/Amotl1/Ank1/Antxr1/App/Appl2/Arhgef7/Dst/Gabbr1/Gabra1/Gas7/Kcnh1/Myo5a/Nme1/Pacsin1/Ppp1r9b/Ptprk/Ptprz1/Shisa8/Sptbn1/Srgap2/Tesc/Tubb3/Vim/Wasf1/Ywhaz,26,
GO:0099003,BP,GO:0099003,vesicle-mediated transport in synapse,20/352,234/14611,1.00E-06,0.00024119,0.000208415,Ctbp2/Dennd1a/Erc2/Git2/Kcnh1/Napb/Pacsin1/Ppp3cb/Prkcb/Prkcg/Pten/Sh3gl2/Sh3gl3/Slc17a7/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,20,
GO:0150034,CC,GO:0150034,distal axon,24/352,322/14611,1.01E-06,0.00024119,0.000208415,Adora1/App/Arhgef7/Cdh8/Dclk1/Erc2/Git2/Got1/Gria3/Kcnab2/Map1b/Nrsn1/Ntrk2/Olfm1/Pacsin1/Pcdh9/Ppp1r9b/Prkcb/Prkcg/Ptprz1/Slc4a8/Syp/Tmod2/Tubb3,24,
GO:0098978,CC,GO:0098978,glutamatergic synapse,23/352,305/14611,1.40E-06,0.000316482,0.000273477,Arpc5l/Cdh8/Ctbp2/Dlg1/Dynll2/Ephb2/Erc2/Grin2c/Grm1/Kpna1/Lrrc4/Myo5a/Napb/Nptx1/Olfm1/Ppp3cb/Ptprd/Pura/Rgs7bp/Slc4a8/Sptbn2/Wnt7a/Ywhaz,23,
GO:0050808,BP,GO:0050808,synapse organization,29/352,457/14611,2.06E-06,0.000444627,0.000384209,Abhd17b/Adgrb1/App/Arhgef7/C1qa/Cdh8/Ephb2/Erc2/F2r/Gabra1/Itpka/Kirrel3/Lrrc4/Malat1/Mecp2/Myo5a/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Sez6l/Sptbn2/Tubb5/Wasf1/Wnt7a/Ywhaz,29,
GO:0042391,BP,GO:0042391,regulation of membrane potential,25/352,363/14611,2.53E-06,0.00052158,0.000450705,Adora1/Ank2/App/Atpif1/Cacna1c/Dlg1/Gabra1/Gnaq/Got1/Grin2c/Kcnab2/Kcnh1/Mecp2/Ntrk2/Ntrk3/Pten/Reln/Rgs4/Rgs7bp/Ryr2/Scn1b/Slc17a7/Slc4a4/Slc4a8/Wnt7a,25,
GO:0005200,MF,GO:0005200,structural constituent of cytoskeleton,9/352,51/14611,3.08E-06,0.000596973,0.000515853,Ina/Sptb/Sptbn1/Tpm2/Tuba1b/Tuba4a/Tubb3/Tubb5/Vim,9,
GO:0034762,BP,GO:0034762,regulation of transmembrane transport,29/352,467/14611,3.16E-06,0.000596973,0.000515853,Ank2/App/Appl2/Cacna1c/Clic6/Dlg1/Ephb2/Erbb3/F2r/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Myo5a/Oaz1/Oprl1/Pea15a/Prkcb/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,29,
GO:1904861,BP,GO:1904861,excitatory synapse assembly,7/352,28/14611,3.40E-06,0.000615955,0.000532255,Lrrc4/Nptx1/Ntrk3/Pten/Ptprd/Reln/Wnt7a,7,
GO:0031256,CC,GO:0031256,leading edge membrane,14/352,137/14611,5.58E-06,0.00097277,0.000840585,Adora1/Ank1/Antxr1/Appl2/Gabbr1/Gabra1/Kcnh1/Nme1/Pacsin1/Ppp1r9b/Ptprk/Ptprz1/Shisa8/Sptbn1,14,
GO:0043209,CC,GO:0043209,myelin sheath,17/352,201/14611,7.54E-06,0.001265776,0.001093776,Atp5o/Atp6v1a/Dlg1/Gdi1/Gjc3/Ina/Mdh2/Napb/Ndufa10/Nme1/Nsf/Pacsin1/Pkm/Pten/Sptan1/Tspan2/Tuba1b,17,
GO:0070382,CC,GO:0070382,exocytic vesicle,17/352,203/14611,8.60E-06,0.001382529,0.001194663,App/Atp6v1g2/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Rab6a/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Syt6/Tmem163,17,
GO:0045055,BP,GO:0045055,regulated exocytosis,18/352,225/14611,8.84E-06,0.001382529,0.001194663,Cacna1c/Ctbp2/Erc2/Git2/Kcnh1/Lamp1/Napb/Ppp3cb/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Tmed10/Wnt7a/Ywhaz,18,
GO:0016079,BP,GO:0016079,synaptic vesicle exocytosis,13/352,125/14611,9.94E-06,0.001457586,0.001259521,Ctbp2/Erc2/Git2/Kcnh1/Napb/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,13,
GO:0042383,CC,GO:0042383,sarcolemma,14/352,144/14611,9.97E-06,0.001457586,0.001259521,Ank1/Ank2/Bsg/Cacna1c/Car4/Dlg1/Dst/Kcnj12/Kcnj3/Lamp1/Ppp3cb/Ryr2/Ryr3/Scn1b,14,
GO:0050803,BP,GO:0050803,regulation of synapse structure or activity,19/352,253/14611,1.24E-05,0.001750625,0.00151274,Abhd17b/Adgrb1/App/Cdh8/Ephb2/Itpka/Malat1/Mecp2/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Slc17a7/Tubb5/Wnt7a/Ywhaz,19,
GO:0044325,MF,GO:0044325,transmembrane transporter binding,13/352,128/14611,1.29E-05,0.001770184,0.001529641,Ank1/Ank2/Cacna1c/Dlg1/Herpud1/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Pacs2/Ppp1r9b/Scn1b/Ywhaz,13,
GO:0009898,CC,GO:0009898,cytoplasmic side of plasma membrane,14/352,148/14611,1.37E-05,0.001784518,0.001542028,Ank1/Dlg1/Dst/Gna12/Gnaq/Gng3/Kcnab1/Kcnab2/Mien1/Mtss1/Ppp1r9b/Pten/Rgs2/Ryr2,14,
GO:0051051,BP,GO:0051051,negative regulation of transport,25/352,400/14611,1.38E-05,0.001784518,0.001542028,Adora1/Appl2/Ephb2/Erbb3/F2r/Gabbr1/Gdi1/Gnaq/Kcnab1/Lgals3/Map1b/Myo5a/Oaz1/Oprl1/Pacsin1/Pea15a/Prkcb/Pten/Rgs2/Rgs4/Sh3gl3/Sirpa/Tmbim6/Txn1/Wnk1,25,
GO:0060076,CC,GO:0060076,excitatory synapse,9/352,61/14611,1.42E-05,0.001786012,0.001543318,Cntn6/Gria3/Kcnh1/Kcnj3/Lrrc4/Ntrk2/Slc17a7/Sptbn2/Syp,9,
GO:0006887,BP,GO:0006887,exocytosis,22/352,328/14611,1.55E-05,0.001895624,0.001638036,Cacna1c/Ctbp2/Erc2/Exph5/Git2/Kcnh1/Lamp1/Myo5a/Napb/Nsf/Ppp3cb/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Tmed10/Tsg101/Wnt7a/Ywhaz,22,
GO:0005746,CC,GO:0005746,mitochondrial respirasome,9/352,63/14611,1.86E-05,0.002213505,0.001912722,Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Uqcr10/Uqcrh,9,
GO:0046034,BP,GO:0046034,ATP metabolic process,17/352,216/14611,1.94E-05,0.002256475,0.001949853,App/Atp5o/Atp6v1a/Atpif1/Bpgm/Chchd2/Gadd45gip1/Ldha/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Pkm/Sdhaf2/Slc4a4/Uqcr10/Uqcrh,17,
GO:0034765,BP,GO:0034765,regulation of ion transmembrane transport,24/352,386/14611,2.23E-05,0.002531009,0.002187081,Ank2/App/Cacna1c/Clic6/Dlg1/Ephb2/F2r/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3/Myo5a/Oprl1/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,24,
GO:0007416,BP,GO:0007416,synapse assembly,15/352,176/14611,2.36E-05,0.00261462,0.002259331,Adgrb1/App/Ephb2/Gabra1/Kirrel3/Lrrc4/Mecp2/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Reln/Sptbn2/Wnt7a,15,
GO:0048488,BP,GO:0048488,synaptic vesicle endocytosis,9/352,66/14611,2.72E-05,0.002871069,0.002480932,Dennd1a/Napb/Pacsin1/Ppp3cb/Sh3gl2/Sh3gl3/Slc17a7/Syp/Syt2,9,
GO:0140238,BP,GO:0140238,presynaptic endocytosis,9/352,66/14611,2.72E-05,0.002871069,0.002480932,Dennd1a/Napb/Pacsin1/Ppp3cb/Sh3gl2/Sh3gl3/Slc17a7/Syp/Syt2,9,
GO:0050807,BP,GO:0050807,regulation of synapse organization,18/352,246/14611,2.96E-05,0.00305103,0.002636439,Abhd17b/Adgrb1/App/Cdh8/Ephb2/Itpka/Malat1/Mecp2/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Tubb5/Wnt7a/Ywhaz,18,
GO:0042773,BP,GO:0042773,ATP synthesis coupled electron transport,8/352,52/14611,3.13E-05,0.003081411,0.002662692,Chchd2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,8,
GO:0042775,BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,8/352,52/14611,3.13E-05,0.003081411,0.002662692,Chchd2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,8,
GO:0005747,CC,GO:0005747,mitochondrial respiratory chain complex I,7/352,39/14611,3.51E-05,0.003250046,0.002808412,Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3,7,
GO:0030964,CC,GO:0030964,NADH dehydrogenase complex,7/352,39/14611,3.51E-05,0.003250046,0.002808412,Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3,7,
GO:0045271,CC,GO:0045271,respiratory chain complex I,7/352,39/14611,3.51E-05,0.003250046,0.002808412,Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3,7,
GO:0031672,CC,GO:0031672,A band,6/352,27/14611,3.61E-05,0.00327687,0.00283159,Ank1/Ank2/Dst/Ppp1r12b/Ryr2/Sptbn1,6,
GO:0008021,CC,GO:0008021,synaptic vesicle,15/352,183/14611,3.73E-05,0.00328904,0.002842107,App/Atp6v1g2/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Tmem163,15,
GO:0098562,CC,GO:0098562,cytoplasmic side of membrane,14/352,162/14611,3.78E-05,0.00328904,0.002842107,Ank1/Dlg1/Dst/Gna12/Gnaq/Gng3/Kcnab1/Kcnab2/Mien1/Mtss1/Ppp1r9b/Pten/Rgs2/Ryr2,14,
GO:0098688,CC,GO:0098688,parallel fiber to Purkinje cell synapse,5/352,17/14611,3.84E-05,0.00328904,0.002842107,Cntn6/Gria3/Kcnh1/Kcnj3/Sptbn2,5,
GO:0007015,BP,GO:0007015,actin filament organization,23/352,375/14611,4.09E-05,0.003438187,0.002970987,Arhgap35/Arhgef10/Arpc5l/Cald1/Capza2/Coro2b/Dlg1/Gas7/Mtss1/Myo5a/Pacsin1/Ppp1r9b/Rgs4/Sh3kbp1/Sirpa/Sptan1/Sptb/Sptbn1/Tenm1/Tmeff2/Tmod2/Tpm2/Wasf1,23,
GO:0030133,CC,GO:0030133,transport vesicle,19/352,278/14611,4.57E-05,0.003765394,0.003253731,App/Atp6v1g2/Car4/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Nrsn1/Rab6a/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Syt6/Tmem163,19,
GO:0044309,CC,GO:0044309,neuron spine,15/352,188/14611,5.10E-05,0.003904058,0.003373553,Adora1/Ephb2/Gabbr1/Gria3/Grm1/Itpka/Lrrc4/Ntrk2/Ppp1r9b/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2/Syp,15,
GO:0006897,BP,GO:0006897,endocytosis,26/352,460/14611,5.19E-05,0.003904058,0.003373553,Adgrb1/Ank2/App/Appl2/Arhgap21/Csnk1e/Dennd1a/Fnbp1/Ifitm3/Lgals3/Mlc1/Napb/Ncl/Nme1/Nsf/Pacsin1/Ppp3cb/Sh3gl2/Sh3gl3/Sh3kbp1/Sirpa/Slc17a7/Syp/Syt2/Tsg101/Wasf1,26,
GO:0007269,BP,GO:0007269,neurotransmitter secretion,14/352,167/14611,5.29E-05,0.003904058,0.003373553,Ctbp2/Erc2/Git2/Kcnh1/Napb/Ntrk2/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,14,
GO:0099643,BP,GO:0099643,signal release from synapse,14/352,167/14611,5.29E-05,0.003904058,0.003373553,Ctbp2/Erc2/Git2/Kcnh1/Napb/Ntrk2/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,14,
GO:0060078,BP,GO:0060078,regulation of postsynaptic membrane potential,11/352,107/14611,5.33E-05,0.003904058,0.003373553,Adora1/App/Gabra1/Grin2c/Mecp2/Pten/Reln/Rgs4/Rgs7bp/Slc17a7/Wnt7a,11,
GO:0098800,CC,GO:0098800,inner mitochondrial membrane protein complex,11/352,107/14611,5.33E-05,0.003904058,0.003373553,Atp5o/Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Timm22/Uqcr10/Uqcrh,11,
GO:0006836,BP,GO:0006836,neurotransmitter transport,16/352,211/14611,5.34E-05,0.003904058,0.003373553,Ctbp2/Erc2/Git2/Kcnh1/Napb/Ntrk2/Prkcb/Prkcg/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Syt6/Wnt7a,16,
GO:0030863,CC,GO:0030863,cortical cytoskeleton,11/352,108/14611,5.81E-05,0.004183304,0.003614853,Ank1/Anln/Cald1/Capza2/Erc2/Ppp1r9b/Prkcb/Sptan1/Sptb/Sptbn1/Sptbn2,11,
GO:0006119,BP,GO:0006119,oxidative phosphorylation,10/352,90/14611,5.99E-05,0.004245434,0.003668541,Atp5o/Chchd2/Gadd45gip1/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,10,
GO:0023061,BP,GO:0023061,signal release,25/352,440/14611,6.66E-05,0.004616081,0.003988822,Adora1/Arhgef7/Cacna1c/Camk2n1/Ctbp2/Erc2/F2r/Gabbr1/Git2/Ildr2/Kcnh1/Lgals3/Myo5a/Napb/Ntrk2/Ppp3cb/Prkcb/Prkcg/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a/Ywhaz,25,
GO:0099068,BP,GO:0099068,postsynapse assembly,6/352,30/14611,6.82E-05,0.004616081,0.003988822,Ephb2/Nptx1/Ntrk3/Pten/Ptprd/Reln,6,
GO:0099503,CC,GO:0099503,secretory vesicle,24/352,414/14611,6.82E-05,0.004616081,0.003988822,App/Atp6v1a/Atp6v1g2/Bsg/Car4/Dlg1/Gabbr1/Gad2/Kirrel3/Lamp1/Myo5a/Rab6a/Scg3/Sh3gl3/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Syt6/Tmed10/Tmem163/Trip11,24,
GO:0030673,CC,GO:0030673,axolemma,5/352,19/14611,6.94E-05,0.004629553,0.004000464,Adora1/Ank1/Gabbr1/Kcnh1/Sptbn1,5,
GO:0043679,CC,GO:0043679,axon terminus,13/352,151/14611,7.42E-05,0.00483223,0.0041756,Adora1/Cdh8/Erc2/Git2/Got1/Gria3/Kcnab2/Ntrk2/Pacsin1/Prkcb/Prkcg/Slc4a8/Syp,13,
GO:0010001,BP,GO:0010001,glial cell differentiation,16/352,217/14611,7.46E-05,0.00483223,0.0041756,App/Arhgef10/C1qa/Dner/Erbb3/Id4/Mecp2/Nfe2l1/Nkx6-2/Ntrk2/Ntrk3/Pten/Ptprz1/Reln/Tspan2/Vim,16,
GO:0009060,BP,GO:0009060,aerobic respiration,12/352,131/14611,7.69E-05,0.004910433,0.004243176,Atp5o/Chchd2/Gadd45gip1/Idh3b/Mdh2/Ndufa10/Ndufb6/Ndufs8/Ndufv3/Sdhaf2/Uqcr10/Uqcrh,12,
GO:0097107,BP,GO:0097107,postsynaptic density assembly,5/352,20/14611,9.08E-05,0.005627819,0.00486308,Nptx1/Ntrk3/Pten/Ptprd/Reln,5,
GO:0001505,BP,GO:0001505,regulation of neurotransmitter levels,16/352,221/14611,9.26E-05,0.005627819,0.00486308,Ctbp2/Erc2/Gad2/Git2/Kcnh1/Napb/Ntrk2/Prkcb/Prkcg/Slc17a7/Slc4a8/Sptbn2/Syp/Syt2/Syt6/Wnt7a,16,
GO:0036465,BP,GO:0036465,synaptic vesicle recycling,9/352,77/14611,9.41E-05,0.005627819,0.00486308,Dennd1a/Napb/Pacsin1/Ppp3cb/Sh3gl2/Sh3gl3/Slc17a7/Syp/Syt2,9,
GO:0031253,CC,GO:0031253,cell projection membrane,17/352,245/14611,9.50E-05,0.005627819,0.00486308,Adora1/Ank1/Antxr1/Appl2/Car4/Dlg1/Gabbr1/Gabra1/Gna12/Kcnh1/Nme1/Pacsin1/Ppp1r9b/Prkcb/Ptprz1/Shisa8/Sptbn1,17,
GO:0008037,BP,GO:0008037,cell recognition,11/352,114/14611,9.54E-05,0.005627819,0.00486308,Adgrb1/App/Arhgap35/Bsg/Cntn6/Dlg1/Ephb2/Lgals3/Ptprz1/Sirpa/Ywhaz,11,
GO:0051956,BP,GO:0051956,negative regulation of amino acid transport,4/352,11/14611,9.56E-05,0.005627819,0.00486308,Adora1/Gabbr1/Rgs2/Rgs4,4,
GO:0032589,CC,GO:0032589,neuron projection membrane,8/352,61/14611,0.000101337,0.005890555,0.005090113,Adora1/Ank1/Gabbr1/Gabra1/Kcnh1/Ppp1r9b/Shisa8/Sptbn1,8,
GO:0098685,CC,GO:0098685,Schaffer collateral - CA1 synapse,9/352,78/14611,0.000104117,0.005920273,0.005115793,Akap12/Anks1b/Gabbr1/Grm1/Ina/Lrrc4/Ptprd/Syp/Wnt7a,9,
GO:0010257,BP,GO:0010257,NADH dehydrogenase complex assembly,7/352,46/14611,0.000105766,0.005920273,0.005115793,Ndufa10/Ndufa11/Ndufaf5/Ndufb11/Ndufb6/Ndufb7/Ndufs8,7,
GO:0032981,BP,GO:0032981,mitochondrial respiratory chain complex I assembly,7/352,46/14611,0.000105766,0.005920273,0.005115793,Ndufa10/Ndufa11/Ndufaf5/Ndufb11/Ndufb6/Ndufb7/Ndufs8,7,
GO:0061564,BP,GO:0061564,axon development,25/352,454/14611,0.000109553,0.006031206,0.005211652,App/Arhgap35/Barhl2/Bsg/Cntn6/Dclk1/Dst/Ephb2/Gdi1/Golga4/Map1b/Nptx1/Ntrk2/Ntrk3/Olfm1/Pten/Ptprz1/Reln/Rtn4rl1/Scn1b/Trim32/Tspan2/Tubb3/Vim/Wnt7a,25,
GO:0043271,BP,GO:0043271,negative regulation of ion transport,12/352,136/14611,0.000110408,0.006031206,0.005211652,Adora1/Ephb2/Gabbr1/Gnaq/Kcnab1/Myo5a/Oprl1/Pten/Rgs2/Rgs4/Tmbim6/Wnk1,12,
GO:0033108,BP,GO:0033108,mitochondrial respiratory chain complex assembly,9/352,79/14611,0.000115051,0.006151287,0.005315416,Coa3/Ndufa10/Ndufa11/Ndufaf5/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Sdhaf2,9,
GO:1904062,BP,GO:1904062,regulation of cation transmembrane transport,19/352,298/14611,0.00011532,0.006151287,0.005315416,Ank2/App/Cacna1c/Dlg1/Ephb2/F2r/Kcnab1/Kcnab2/Myo5a/Oprl1/Pten/Reln/Rgs2/Rgs4/Ryr2/Scn1b/Shisa8/Tesc/Wnk1,19,
GO:0030017,CC,GO:0030017,sarcomere,13/352,158/14611,0.000117758,0.006208335,0.005364712,Ank1/Ank2/Cacna1c/Dst/Ppp1r12b/Ppp3cb/Ryr2/Ryr3/Sptan1/Sptbn1/Tmod2/Tpm2/Trim32,13,
GO:0008038,BP,GO:0008038,neuron recognition,7/352,47/14611,0.000121736,0.006344268,0.005482174,App/Arhgap35/Bsg/Cntn6/Ephb2/Ptprz1/Ywhaz,7,
GO:0043197,CC,GO:0043197,dendritic spine,14/352,183/14611,0.00014155,0.007293031,0.006302013,Adora1/Ephb2/Gabbr1/Gria3/Grm1/Itpka/Lrrc4/Ntrk2/Ppp1r9b/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2,14,
GO:0007193,BP,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,7/352,49/14611,0.000159553,0.008128238,0.007023727,Adora1/Akap12/App/Gabbr1/Gpr37/Oprl1/Rgs2,7,
